Dataset 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
-0.07374631268436715,92.1622168141593,-0.07374631268436715,93.75746017699116,-0.04256680548325775,94.68458407079646
0.20686925212562812,92.44920796460178,0.20686925212562812,93.94573451327435,0.3565308866909618,94.79978761061948
0.019792208918964604,92.3621946902655,0.019792208918964604,93.83989380530974,0.6745618601422869,94.9176371681416
0.019792208918964604,92.2889203539823,0.39394629533229164,94.10093362831859,0.8616389033489504,95.00312389380531
0.4313617039736215,92.718796460177,0.20686925212562812,94.0230796460177,1.4228700329689374,95.09319026548673
0.3004077737289599,92.61254867256638,0.6745618601422869,94.29785840707966,2.0776396841922598,95.17511504424779
0.3004077737289599,92.53927433628319,0.5810233385389552,94.20626548672567,2.732409335415582,95.26569026548673
0.7057413673433928,93.00130973451328,0.8616389033489504,94.47493805309735,3.667794551448896,95.3155575221239
0.5810233385389552,92.91175221238939,0.7681003817456187,94.3772389380531,4.603179767482214,95.37712831858407
0.5810233385389552,92.8384778761062,1.3293315113656057,94.58077876106195,5.445026461912196,95.44826548672567
1.1957050519322756,93.2563160556258,1.8905626409855962,94.65405309734514,6.473950199548845,95.51197345132744
0.7681003817456187,93.18042477876106,2.732409335415582,94.73953982300885,7.596412458788823,95.56692920353983
0.7681003817456187,93.10715044247789,3.8548715946555596,94.77108849557523,8.718874718028804,95.58626548672567
2.1711782057955915,93.17584513274338,4.977333853895537,94.83418584070797,9.841336977268785,95.6422389380531
2.919486378622242,93.11020353982302,6.099796113135518,94.82604424778762,10.963799236508759,95.68498230088497
3.4807175082422326,93.01861061946903,7.222258372375496,94.83113274336284,12.08626149574874,95.73484955752212
4.135487159465555,92.93373451327435,8.251182110012142,94.79246017699116,13.208723754988721,95.77861061946903
4.883795332292209,92.86900884955753,9.280105847648795,94.75887610619469,14.331186014228695,95.7847168141593
5.445026461912196,92.79776991150443,10.402568106888769,94.8026371681416,15.453648273468676,95.79896460176992
6.0062575915321865,92.70210619469027,11.52503036612875,94.79246017699116,16.576110532708658,95.83356637168143
6.661027242755509,92.6339203539823,12.64749262536873,94.75480530973452,17.69857279194864,95.84272566371682
7.222258372375496,92.52706194690266,13.769954884608712,94.73852212389382,18.821035051188613,95.86206194690266
7.689950980392155,92.43750442477877,14.892417143848686,94.75684070796461,19.943497310428594,95.86409734513275
8.00174605240326,92.36626548672567,16.014879403088667,94.71918584070796,21.065959569668575,95.88139823008851
8.905951761235468,92.27569026548673,17.137341662328648,94.68458407079646,22.18842182890855,95.89768141592921
9.841336977268785,92.25838938053099,18.259803921568622,94.66931858407081,23.31088408814853,95.91091150442479
10.30902958528544,92.166796460177,19.382266180808603,94.65812389380531,24.43334634738851,95.90785840707966
10.776722193302096,92.04161946902656,20.504728440048584,94.63776991150444,25.555808606628492,95.92312389380531
11.337953322922086,91.96071238938053,21.627190699288565,94.60622123893806,26.678270865868466,95.93330088495576
12.273338538955404,91.88998230088497,22.74965295852854,94.58688495575223,27.800733125108447,95.93431858407081
13.30226227659205,91.83950442477877,23.87211521776852,94.56551327433628,28.92319538434843,95.93431858407081
14.144108971022032,91.76836725663718,24.9945774770085,94.58790265486726,30.045657643588402,95.9434778761062
15.07949418705535,91.68338938053098,26.117039736248476,94.55635398230089,31.168119902828384,95.95161946902655
16.20195644629533,91.71086725663717,27.239501995488457,94.51564601769913,32.29058216206836,95.95467256637168
16.950264619121985,91.69356637168143,28.361964254728438,94.48816814159292,33.41304442130834,95.94653097345133
17.41795722713864,91.60909734513275,29.48442651396842,94.49732743362833,34.53550668054832,95.95161946902655
17.885649835155302,91.52869911504425,30.606888773208393,94.4576371681416,35.657968939788304,95.95670796460178
18.259803921568622,91.4493185840708,31.729351032448374,94.4647610619469,36.68689267742495,95.95874336283187
18.727496529585284,91.36077876106195,32.85181329168836,94.4576371681416,37.90289345826825,95.95874336283187
19.569343224015267,91.29462831858407,33.974275550928326,94.41489380530975,38.557663109491585,95.95874336283187
20.504728440048584,91.23560176991151,35.09673781016831,94.43626548672567,40.89612614957487,95.94246017699116
21.440113656081902,91.18166371681417,36.21920006940829,94.421,42.01858840881485,95.91701769911505
22.18842182890855,91.0951592920354,37.34166232864827,94.40573451327434,43.14105066805483,95.94958407079646
22.531396408120766,91.02086725663717,38.46412458788825,94.37418584070797,45.94720631615478,95.95874336283187
22.936730001735203,90.93334513274337,39.58658684712823,94.35892035398231,47.91151526982475,95.95874336283187
23.497961131355193,90.85091150442479,40.70904910636821,94.3426371681416,49.8758242234947,95.95060176991151
24.43334634738851,90.82038053097345,41.83151136560819,94.26834513274336,50.998286482734684,95.91396460176992
25.555808606628492,90.85498230088496,42.953973624848174,94.26122123893806,52.120748741974666,95.94042477876107
26.678270865868466,90.84175221238938,43.98289736248482,94.30274336283186,53.24321100121465,95.94754867256638
27.70719460350512,90.7916814159292,45.011821100121466,94.35484955752213,54.36567326045463,95.93126548672566
28.455502776331766,90.69520353982301,46.13428335936145,94.28768141592921,55.48813551969461,95.91905309734514
29.297349470761755,90.61887610619469,47.25674561860143,94.27343362831859,56.610597778934576,95.92210619469027
30.232734686795066,90.63414159292036,48.285669356238074,94.24656637168142,57.73306003817456,95.91600000000001
30.999750563942396,90.65368141592921,49.31459309387472,94.2093185840708,58.85552229741454,95.90989380530974
31.54227398924171,90.53644247787611,50.4370553531147,94.26020353982301,59.97798455665452,95.88953982300886
32.103505118861705,90.45807964601771,51.278902047544676,94.25104424778762,61.1004468158945,95.91091150442479
33.038890334895015,90.54712831858407,52.120748741974666,94.17980530973452,62.22290907513448,95.93126548672566
33.974275550928326,90.5751150442478,53.24321100121465,94.18794690265487,63.34537133437446,95.92312389380531
34.90966076696165,90.4555353982301,54.36567326045463,94.1726814159292,64.46783359361443,95.89768141592921
35.84504598299496,90.3888761061947,55.48813551969461,94.18184070796461,65.59029585285441,95.89666371681416
36.96750824223494,90.4672389380531,56.610597778934576,94.1930353982301,66.71275811209439,95.92414159292036
37.715816415061596,90.3776814159292,57.73306003817456,94.15843362831859,67.83522037133437,95.88852212389381
38.08997050147492,90.27692920353982,58.85552229741454,94.13197345132744,68.95768263057435,95.88648672566373
38.49530409508937,90.17821238938053,59.97798455665452,94.12790265486726,70.08014488981433,95.88953982300886
39.212432760714904,90.1059557522124,61.1004468158945,94.16962831858407,71.20260714905432,95.91396460176992
40.334895019954885,90.15582300884957,62.22290907513448,94.14011504424779,72.32506940829428,95.89869911504425
41.457357279194866,90.14462831858407,63.25183281277113,94.16840707964602,73.44753166753426,95.88038053097345
42.39274249522818,90.07084513274337,64.28075655040777,94.10449557522125,74.56999392677425,95.88546902654868
43.047512146451496,89.98892035398231,65.40321880964775,94.1197610619469,75.69245618601423,95.89462831858408
43.889358840881485,89.91869911504425,66.52568106888774,94.12993805309735,76.81491844525421,95.89564601769912
